date_id,day_of_week,month_name,year
D1035,Sunday,11,2013
D1036,Thursday,11,2013
D1037,Tuesday,11,2013
D1038,Wednesday,11,2013
D1039,Friday,10,2013
D1040,Monday,10,2013
D1041,Saturday,10,2013
D1042,Sunday,10,2013
D1043,Thursday,10,2013
D1044,Tuesday,10,2013
D1045,Wednesday,10,2013
D1046,Friday,9,2013
D1047,Monday,9,2013
D1048,Saturday,9,2013
D1049,Sunday,9,2013
D1050,Thursday,9,2013
D1051,Tuesday,9,2013
D1052,Wednesday,9,2013
D1053,Friday,8,2013
D1054,Monday,8,2013
D1055,Saturday,8,2013
D1056,Sunday,8,2013
D1057,Thursday,8,2013
D1058,Tuesday,8,2013
D1059,Wednesday,8,2013
D1060,Friday,7,2013
D1061,Monday,7,2013
D1062,Saturday,7,2013
D1063,Sunday,7,2013
D1064,Thursday,7,2013
D1065,Tuesday,7,2013
D1066,Wednesday,7,2013
D1067,Friday,6,2013
D1068,Monday,6,2013
D1069,Saturday,6,2013
D1070,Sunday,6,2013
D1071,Thursday,6,2013
D1072,Tuesday,6,2013
D1073,Wednesday,6,2013
D1074,Friday,5,2013
D1075,Monday,5,2013
D1076,Saturday,5,2013
D1077,Sunday,5,2013
D1078,Thursday,5,2013
D1079,Tuesday,5,2013
D1080,Wednesday,5,2013
D1081,Friday,4,2013
D1082,Monday,4,2013
D1083,Saturday,4,2013
D1084,Sunday,4,2013
D1085,Thursday,4,2013
D1086,Tuesday,4,2013
D1087,Wednesday,4,2013
D1088,Friday,3,2013
D1089,Monday,3,2013
D1090,Saturday,3,2013
D1091,Sunday,3,2013
D1092,Thursday,3,2013
D1093,Tuesday,3,2013
D1094,Wednesday,3,2013
D1095,Friday,2,2013
D1096,Monday,2,2013
D1097,Saturday,2,2013
D1098,Sunday,2,2013
D1099,Thursday,2,2013
D1100,Tuesday,2,2013
D1101,Wednesday,2,2013
D1102,Friday,1,2013
D1103,Monday,1,2013
D1104,Saturday,1,2013
D1105,Sunday,1,2013
D1106,Thursday,1,2013
D1107,Tuesday,1,2013
D1108,Wednesday,1,2013
D1109,Friday,12,2012
D1110,Monday,12,2012
D1111,Saturday,12,2012
D1112,Sunday,12,2012
D1113,Thursday,12,2012
D1114,Tuesday,12,2012
D1115,Wednesday,12,2012
D1116,Friday,11,2012
D1117,Monday,11,2012
D1118,Saturday,11,2012
D1119,Sunday,11,2012
D1120,Thursday,11,2012
D1121,Tuesday,11,2012
D1122,Wednesday,11,2012
D1123,Friday,10,2012
D1124,Monday,10,2012
D1125,Saturday,10,2012
D1126,Sunday,10,2012
D1127,Thursday,10,2012
D1128,Tuesday,10,2012
D1129,Wednesday,10,2012
D1130,Friday,9,2012
D1131,Monday,9,2012
D1132,Saturday,9,2012
D1133,Sunday,9,2012
D1134,Thursday,9,2012
D1135,Tuesday,9,2012
D1136,Wednesday,9,2012
D1137,Friday,8,2012
D1138,Monday,8,2012
D1139,Saturday,8,2012
D1140,Sunday,8,2012
D1141,Thursday,8,2012
D1142,Tuesday,8,2012
D1143,Wednesday,8,2012
D1144,Friday,7,2012
D1145,Monday,7,2012
D1146,Saturday,7,2012
D1147,Sunday,7,2012
D1148,Thursday,7,2012
D1149,Tuesday,7,2012
D1150,Wednesday,7,2012
D1151,Friday,6,2012
D1152,Monday,6,2012
D1153,Saturday,6,2012
D1154,Sunday,6,2012
D1155,Thursday,6,2012
D1156,Tuesday,6,2012
D1157,Wednesday,6,2012
